"route_id","sightings","pres_abs","Latitude","Longitude","Route","Stop"
"314_1_10",22,1,41.9798,-80.4933,"314_1",10
"314_2_1",2,1,41.965,-80.4954,"314_2",1
"314_2_2",2,1,41.965,-80.5036,"314_2",2
"314_2_3",6,1,41.9651,-80.511,"314_2",3
"314_2_4",2,1,41.965,-80.519,"314_2",4
"314_2_5",2,1,41.9707,-80.5193,"314_2",5
"314_2_6",6,1,41.9763,-80.5192,"314_2",6
"314_2_7",2,1,41.9788,-80.512,"314_2",7
"314_2_8",1,1,41.9813,-80.5051,"314_2",8
"314_2_9",0,0,41.9844,-80.4986,"314_2",9
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_DEMO AREA/SHEETS/BILLIG TRACT_1",5,1,41.42239,-80.14077,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_DEMO AREA/SHEETS/BILLIG TRACT",1
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_DEMO AREA/SHEETS/BILLIG TRACT_2",5,1,41.42356,-80.14196,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_DEMO AREA/SHEETS/BILLIG TRACT",2
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_DEMO AREA/SHEETS/BILLIG TRACT_3",1,1,41.42482,-80.1413,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_DEMO AREA/SHEETS/BILLIG TRACT",3
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING_1",7,1,41.42945,-80.14669,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING",1
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING_2",2,1,41.42934,-80.14912,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING",2
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING_3",0,0,41.42904,-80.15101,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING",3
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING_4",0,0,41.42754,-80.15113,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING",4
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING_5",3,1,41.42764,-80.1494,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING",5
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING_6",2,1,41.42878,-80.14938,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING",6
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING_7",1,1,41.42794,-80.14774,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_OFFICE/BILLING",7
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_BIKE TRAIL/ELDER_1",0,0,41.42488,-80.14874,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_BIKE TRAIL/ELDER",1
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_BIKE TRAIL/ELDER_2",1,1,41.42585,-80.14765,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_BIKE TRAIL/ELDER",2
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_BIKE TRAIL/ELDER_3",1,1,41.42564,-80.14651,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_BIKE TRAIL/ELDER",3
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_BIKE TRAIL/ELDER_4",0,0,41.42523,-80.14512,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_BIKE TRAIL/ELDER",4
"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_BIKE TRAIL/ELDER_5",1,1,41.42425,-80.14546,"MK GODDARD** GOOD STOPVER LOC; NOT A BREEDING SITE_BIKE TRAIL/ELDER",5
"ERIE  NWR_SUGAR-1_1",3,1,41.66456,-79.953234,"ERIE  NWR_SUGAR-1",1
"ERIE  NWR_SUGAR-1_2",6,1,41.663176,-79.959539,"ERIE  NWR_SUGAR-1",2
"ERIE  NWR_SUGAR-1_3",4,1,41.65971,-79.962669,"ERIE  NWR_SUGAR-1",3
"ERIE  NWR_SUGAR-1_4",0,0,41.653909,-79.963639,"ERIE  NWR_SUGAR-1",4
"ERIE  NWR_SUGAR-1_5",5,1,41.648228,-79.964883,"ERIE  NWR_SUGAR-1",5
"ERIE  NWR_SUGAR-1_6",5,1,41.643092,-79.966766,"ERIE  NWR_SUGAR-1",6
